prob_class_0,prob_class_1,prob_class_2,prob_class_3,max_probability,predicted_class,predicted_class_name
0.9999918,3.1050433e-07,5.9799104e-06,1.8815457e-06,0.9999918,0,none
0.99999154,8.3270726e-07,7.029845e-06,5.4442836e-07,0.99999154,0,none
0.99999094,6.742835e-07,8.289309e-06,8.6309925e-08,0.99999094,0,none
0.9999902,7.4716977e-06,2.1090311e-06,1.778166e-07,0.9999902,0,none
0.99998903,5.474308e-06,5.3760336e-06,1.0393088e-07,0.99998903,0,none
0.9989844,0.00087979564,0.00013489279,9.1699224e-07,0.9989844,0,none
0.9993506,0.0004288807,0.00020916553,1.1284446e-05,0.9993506,0,none
0.9677271,0.03140023,0.0008260103,4.669605e-05,0.9677271,0,none
0.99893993,9.399595e-05,6.461867e-05,0.00090149796,0.99893993,0,none
0.99991286,1.5653188e-05,6.7222927e-06,6.474623e-05,0.99991286,0,none
0.99981827,2.991628e-06,0.00012028177,5.8530266e-05,0.99981827,0,none
0.99910873,1.5370768e-05,0.00077195454,0.000103893435,0.99910873,0,none
0.9963085,0.00010559747,0.0032079886,0.00037784115,0.9963085,0,none
0.99666613,7.7406425e-05,0.0032430287,1.3469204e-05,0.99666613,0,none
0.99716586,0.0027470274,8.2960476e-05,4.1499347e-06,0.99716586,0,none
0.9998847,3.8888214e-05,6.41461e-05,1.2241983e-05,0.9998847,0,none
0.9999933,2.049073e-07,3.8851563e-06,2.5513252e-06,0.9999933,0,none
0.9999639,6.5061124e-07,2.6594894e-06,3.2840482e-05,0.9999639,0,none
0.99996006,1.5439945e-06,7.0133086e-07,3.7706202e-05,0.99996006,0,none
0.999979,1.0337061e-06,2.030762e-06,1.7905462e-05,0.999979,0,none
0.99999464,1.3841328e-07,1.0220357e-06,4.220236e-06,0.99999464,0,none
0.9999591,4.391938e-06,5.6512526e-06,3.087824e-05,0.9999591,0,none
0.99994874,4.7821737e-05,3.27424e-06,1.4414076e-07,0.99994874,0,none
0.99998796,5.30367e-06,5.2669407e-06,1.4172668e-06,0.99998796,0,none
0.99997985,1.6203643e-05,3.8282064e-06,1.307953e-07,0.99997985,0,none
0.9999938,3.671297e-06,1.4668581e-06,1.0026148e-06,0.9999938,0,none
0.9999982,2.233946e-07,1.3263447e-06,2.3868455e-07,0.9999982,0,none
0.9999908,1.8485376e-07,7.590762e-06,1.4046065e-06,0.9999908,0,none
0.9999957,9.262573e-08,3.6728345e-06,4.7028286e-07,0.9999957,0,none
0.999998,1.461307e-08,1.8438507e-06,1.6222134e-07,0.999998,0,none
0.99999845,1.4440522e-07,1.4026093e-06,9.640745e-09,0.99999845,0,none
0.9999989,6.7839625e-07,3.298231e-07,2.6689174e-08,0.9999989,0,none
0.9999434,4.7760182e-05,8.675706e-06,1.5424166e-07,0.9999434,0,none
0.999961,3.8327755e-05,6.2748774e-07,2.5245827e-08,0.999961,0,none
0.99999774,1.9767915e-06,1.248275e-07,2.1547636e-07,0.99999774,0,none
0.99999785,1.1677897e-06,3.8319007e-07,5.8446113e-07,0.99999785,0,none
0.9999975,9.408926e-07,6.8001725e-07,8.8805655e-07,0.9999975,0,none
0.9999993,3.037241e-08,3.164381e-08,6.6710936e-07,0.9999993,0,none
0.99999905,2.6724376e-08,5.002735e-07,4.35347e-07,0.99999905,0,none
0.99999857,1.3730074e-06,8.254417e-08,1.5456052e-08,0.99999857,0,none
0.9999969,2.6851657e-07,2.8027152e-06,6.22746e-08,0.9999969,0,none
0.9999993,5.5359027e-07,1.6263049e-07,1.0906999e-08,0.9999993,0,none
0.99999964,3.0620927e-07,3.7178516e-08,4.117318e-09,0.99999964,0,none
0.99999905,2.2424281e-07,3.0143474e-07,4.2674347e-07,0.99999905,0,none
0.99998736,1.2252117e-05,2.6087443e-07,1.0496484e-07,0.99998736,0,none
0.99999976,1.2567416e-07,5.246743e-08,6.670247e-08,0.99999976,0,none
0.9999995,4.020669e-08,8.204792e-08,3.1061487e-07,0.9999995,0,none
0.9999896,9.453252e-06,2.1487377e-07,7.0641903e-07,0.9999896,0,none
0.99999344,5.126994e-06,1.28971e-06,1.7236012e-07,0.99999344,0,none
0.9999516,4.7072655e-05,1.2976245e-06,8.1144e-08,0.9999516,0,none
0.99999905,8.970286e-07,1.9493918e-08,3.3728565e-08,0.99999905,0,none
0.99999857,4.819971e-07,1.2878772e-07,8.049394e-07,0.99999857,0,none
0.9999988,1.0887488e-06,1.17450824e-07,4.2637378e-08,0.9999988,0,none
0.99999774,1.8308034e-06,1.9320261e-07,2.736687e-07,0.99999774,0,none
0.9999975,1.5119928e-06,8.139812e-07,1.8833795e-07,0.9999975,0,none
0.99999976,1.566424e-07,1.634234e-08,2.0771774e-08,0.99999976,0,none
0.99999845,1.2510283e-06,2.5079427e-07,2.2052276e-08,0.99999845,0,none
0.9999989,8.357079e-07,2.0784707e-07,3.112369e-08,0.9999989,0,none
0.9999975,4.98521e-07,1.8977736e-06,6.6995064e-08,0.9999975,0,none
0.9999999,2.8623118e-08,3.691806e-08,2.4869903e-08,0.9999999,0,none
0.99999964,1.8082015e-07,1.5992424e-07,1.6585009e-08,0.99999964,0,none
0.9999945,5.2050614e-06,8.088942e-08,2.2974679e-07,0.9999945,0,none
0.99999833,1.0055371e-06,5.048107e-07,1.6755227e-07,0.99999833,0,none
