prob_class_0,prob_class_1,prob_class_2,prob_class_3,max_probability,predicted_class,predicted_class_name
0.9999542,3.3352582e-05,1.2274071e-05,1.06075326e-07,0.9999542,0,none
0.9998036,7.330382e-05,0.0001229859,1.1381915e-07,0.9998036,0,none
0.99999225,4.7123594e-06,2.8990808e-06,9.6804904e-08,0.99999225,0,none
0.9998099,0.00018408003,5.8629025e-06,1.1610927e-07,0.9998099,0,none
0.9999939,5.033406e-06,2.0046065e-07,8.011417e-07,0.9999939,0,none
0.9999908,4.8373386e-06,2.119784e-06,2.2621848e-06,0.9999908,0,none
0.9999975,5.415896e-07,9.2571725e-07,1.0398694e-06,0.9999975,0,none
0.9999858,5.9919336e-07,2.8482023e-06,1.0679582e-05,0.9999858,0,none
0.99681586,0.003180893,2.89004e-06,3.7789417e-07,0.99681586,0,none
0.9999893,6.862257e-06,3.7381817e-06,1.6504376e-07,0.9999893,0,none
0.9999634,3.2468324e-05,8.752923e-07,3.2332725e-06,0.9999634,0,none
0.9999927,5.0562403e-07,3.3339492e-07,6.392922e-06,0.9999927,0,none
0.99997926,1.0707195e-06,3.761801e-06,1.5950714e-05,0.99997926,0,none
0.999997,2.9276967e-07,1.7161356e-06,9.270314e-07,0.999997,0,none
0.9999995,3.753828e-08,1.4138239e-07,2.6622246e-07,0.9999995,0,none
0.9999987,1.05359376e-07,1.178666e-06,1.8015584e-08,0.9999987,0,none
0.99999976,1.6361241e-08,1.6238647e-07,1.1069788e-08,0.99999976,0,none
0.99999976,8.055386e-09,2.3566444e-07,2.7018173e-08,0.99999976,0,none
0.9999999,7.53812e-09,7.5940015e-08,3.5942387e-09,0.9999999,0,none
0.99999964,6.3507876e-08,1.0222664e-07,1.5615302e-07,0.99999964,0,none
0.9999999,1.201686e-07,1.0113532e-08,3.2318457e-08,0.9999999,0,none
0.9999999,3.4288963e-08,1.3698309e-08,1.2893192e-07,0.9999999,0,none
0.99999964,2.7929463e-08,6.6458226e-09,3.0904914e-07,0.99999964,0,none
0.9999988,8.170247e-07,1.4687923e-07,1.821204e-07,0.9999988,0,none
0.9999962,1.7352294e-08,6.987991e-07,3.0483282e-06,0.9999962,0,none
0.9999993,1.554254e-07,3.0623602e-07,2.653752e-07,0.9999993,0,none
0.9999974,2.5168916e-07,2.340121e-06,8.020094e-08,0.9999974,0,none
0.9999976,8.188248e-09,2.2391332e-06,1.527095e-07,0.9999976,0,none
0.9999373,2.638709e-07,6.1210914e-05,1.1730173e-06,0.9999373,0,none
0.99999475,9.989909e-07,2.5088343e-06,1.74206e-06,0.99999475,0,none
0.9999908,2.044508e-07,8.658231e-06,3.110654e-07,0.9999908,0,none
0.9999919,1.8968628e-07,4.2770216e-06,3.6757463e-06,0.9999919,0,none
0.999962,1.1304591e-07,3.693471e-05,9.61266e-07,0.999962,0,none
0.99991846,4.2820847e-07,7.6438395e-05,4.617446e-06,0.99991846,0,none
0.9999974,9.425296e-09,2.9231447e-07,2.3799416e-06,0.9999974,0,none
0.9999825,1.4193582e-06,1.9200456e-06,1.4200874e-05,0.9999825,0,none
0.99995637,3.621747e-05,3.956114e-06,3.4149466e-06,0.99995637,0,none
0.99997866,1.0999077e-05,7.1741697e-06,3.2187388e-06,0.99997866,0,none
0.9998425,0.00014284093,1.2249127e-05,2.3585505e-06,0.9998425,0,none
0.99998057,1.3788527e-05,5.0433528e-06,5.427106e-07,0.99998057,0,none
0.99997425,1.4380481e-06,1.80304e-05,6.320621e-06,0.99997425,0,none
0.99998546,6.101282e-06,8.423656e-06,7.216625e-08,0.99998546,0,none
0.99999464,9.990264e-08,4.2558677e-06,9.97928e-07,0.99999464,0,none
0.99999774,4.26037e-07,1.1359014e-06,7.035412e-07,0.99999774,0,none
0.99999094,3.1738827e-07,4.072139e-06,4.69318e-06,0.99999094,0,none
0.99999666,2.4783134e-07,2.669749e-06,3.7365677e-07,0.99999666,0,none
